families	query_name	accession	e_value	score	bias	e_value_dom	score_dom	bias_dom	exp	reg	clu	ov	env	dom	rep	inc	description
GCF_000304515.1_Cm_FSW4_genomic_CDS_0336	AAA_16	PF13191.9	6.6e-15	51.8	0.8	0.0022	14.3	0.1	5.6	4	1	0	4	4	0	0	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0112	AAA_16	PF13191.9	3.7e-11	39.6	0.2	2.1e-05	20.9	0.0	4.5	3	1	0	3	3	0	0	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0285	AAA_16	PF13191.9	1.4e-10	37.7	6.7	0,000003	23.6	0.1	4.5	4	1	1	5	5	0	0	-
GCF_002777155.1_ASM277715v1_genomic_CDS_0128	AAA_17	PF13207.9	1.3e-20	70.2	0.0	3.1e-20	68.9	0.0	1.6	1	1	0	1	1	1	1	-
GCF_000220105.1_ASM22010v1_genomic_CDS_0714	AAA_18	PF13238.9	9.2e-10	35.1	0.0	0,00000002	30.8	0.0	2.6	1	1	1	2	2	1	1	-
GCF_002777155.1_ASM277715v1_genomic_CDS_0128	AAA_18	PF13238.9	3.1e-09	33.4	0.0	0,000000008	32.1	0.0	1.7	1	1	0	1	1	1	1	-
GCF_000220105.1_ASM22010v1_genomic_CDS_0874	AAA_19	PF13245.9	2.6e-37	124.2	0.0	6.8e-37	122.9	0.0	1.7	1	0	0	1	1	1	1	-
GCF_000092685.1_ASM9268v1_genomic_CDS_0034	AAA_19	PF13245.9	1.2e-31	105.9	0.0	2.8e-31	104.6	0.0	1.7	1	0	0	1	1	1	1	-
GCF_006508265.1_ASM650826v1_genomic_CDS_0007	AAA_19	PF13245.9	4.7e-21	71.5	0.1	3.4e-20	68.7	0.1	2.4	1	1	0	1	1	1	1	-
GCF_000590695.1_ASM59069v1_genomic_CDS_0663	AAA_19	PF13245.9	4.7e-17	58.5	0.0	1.7e-16	56.7	0.0	2.0	1	1	0	1	1	1	1	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0016	AAA_19	PF13245.9	7.8e-08	28.6	0.2	9.5e-07	25.1	0.2	2.2	1	1	0	1	1	0	0	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0112	AAA_2	PF07724.17	1.4e-59	197.0	0.4	8.4e-55	181.4	0.0	3.1	3	0	0	3	3	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0285	AAA_2	PF07724.17	3.1e-52	173.1	0.2	2.2e-50	167.0	0.0	2.7	2	0	0	2	2	1	1	-
GCF_000318945.1_ASM31894v1_genomic_CDS_0713	AAA_2	PF07724.17	6.6e-49	162.2	0.6	1.1e-48	161.5	0.1	1.6	2	0	0	2	2	1	1	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0598	AAA_2	PF07724.17	2.1e-08	30.4	0.0	5.9e-08	28.9	0.0	1.8	1	0	0	1	1	1	1	-
GCF_002777115.1_ASM277711v1_genomic_CDS_0352	AAA_21	PF13304.9	9.6e-15	51.0	6.5	7.8e-06	21.8	0.5	4.1	4	0	0	4	4	0	0	-
GCF_000210495.1_ASM21049v1_genomic_CDS_0129	AAA_21	PF13304.9	3.5e-13	45.9	0.2	0,0000002	27.0	0.0	2.1	2	0	0	2	2	1	1	-
GCF_002088315.1_ASM208831v1_genomic_CDS_0423	AAA_21	PF13304.9	1.4e-12	43.9	1.3	7.1e-07	25.2	0.2	2.1	1	1	1	2	2	0	0	-
GCF_000590575.1_ASM59057v1_genomic_CDS_0183	AAA_21	PF13304.9	1.8e-11	40.3	0.6	6.4e-06	22.0	0.0	2.1	1	1	0	2	2	0	0	-
GCF_001183825.1_ASM118382v1_genomic_CDS_0666	AAA_21	PF13304.9	3.2e-08	29.6	1.7	0.00036	16.3	0.1	2.4	1	1	1	2	2	0	0	-
GCF_000590695.1_ASM59069v1_genomic_CDS_0697	AAA_21	PF13304.9	3.4e-08	29.5	0.0	0.0016	14.2	0.0	2.2	2	0	0	2	2	0	0	-
GCF_000026905.1_ASM2690v1_genomic_CDS_0710	AAA_21	PF13304.9	0,00000007	28.5	2.2	6.7e-07	25.3	0.2	2.1	1	1	1	2	2	0	0	-
GCF_000173495.1_ASM17349v1_genomic_CDS_0068	AAA_21	PF13304.9	9.1e-08	28.1	0.0	3.1e-06	23.1	0.0	2.1	2	0	0	2	2	0	0	-
GCF_000093005.1_ASM9300v1_genomic_CDS_0200	AAA_21	PF13304.9	1.3e-07	27.6	2.8	0.00025	16.8	0.1	2.1	1	1	1	2	2	0	0	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0112	AAA_22	PF13401.9	5.8e-10	35.5	0.5	0.0013	14.9	0.1	4.6	2	2	0	3	3	0	0	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0285	AAA_22	PF13401.9	3.6e-08	29.7	5.2	0.0004	16.6	0.1	5.1	3	2	0	4	4	0	0	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0016	AAA_22	PF13401.9	0,00000006	29.0	0.4	8.7e-07	25.2	0.1	2.8	2	1	0	2	2	0	0	-
GCF_001183825.1_ASM118382v1_genomic_CDS_0026	AAA_22	PF13401.9	7.6e-08	28.7	0.0	1.6e-07	27.6	0.0	1.6	1	0	0	1	1	1	1	-
GCF_001183845.1_ASM118384v1_genomic_CDS_0336	AAA_22	PF13401.9	2.3e-07	27.1	0.2	2.9e-06	23.5	0.0	2.7	2	1	0	2	2	0	0	-
GCF_000318865.1_ASM31886v1_genomic_CDS_0074	AAA_23	PF13476.9	1.8e-08	31.1	0.1	2.8e-08	30.4	0.1	1.4	1	1	0	1	1	1	1	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0336	AAA_23	PF13476.9	3.2e-08	30.3	4.7	0.063	9.7	0.2	4.3	4	0	0	4	4	0	0	-
GCF_002777115.1_ASM277711v1_genomic_CDS_0352	AAA_23	PF13476.9	0,00000005	29.6	3.1	0.0001	18.8	0.1	3.2	3	0	0	3	3	0	0	-
GCF_000441775.1_ASM44177v1_genomic_CDS_0771	AAA_25	PF13481.9	5.2e-40	133.0	0.2	7.5e-40	132.5	0.2	1.2	1	0	0	1	1	1	1	-
GCF_002777095.1_ASM277709v1_genomic_CDS_0296	AAA_25	PF13481.9	1.5e-13	46.7	0.0	5.6e-13	44.8	0.0	1.8	1	1	0	1	1	1	1	-
GCF_002777155.1_ASM277715v1_genomic_CDS_0513	AAA_25	PF13481.9	3.2e-12	42.4	0.0	6.6e-12	41.3	0.0	1.5	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0899	AAA_25	PF13481.9	7E-11	38.0	0.0	1.3e-10	37.1	0.0	1.4	1	0	0	1	1	1	1	-
GCF_000318865.1_ASM31886v1_genomic_CDS_0074	AAA_27	PF13514.9	0,0000008	24.8	0.5	1.4e-06	23.9	0.5	1.6	1	1	0	1	1	1	1	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0438	AAA_28	PF13521.9	2.5e-07	27.0	0.0	3.7e-07	26.4	0.0	1.3	1	1	0	1	1	0	0	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0336	AAA_29	PF13555.9	1.9e-15	52.3	1.2	0.00025	16.7	0.1	4.4	4	0	0	4	4	0	0	-
GCF_002777115.1_ASM277711v1_genomic_CDS_0352	AAA_29	PF13555.9	1.9e-08	29.9	0.3	2.3e-05	20.1	0.0	2.5	2	0	0	2	2	0	0	-
GCF_000092685.1_ASM9268v1_genomic_CDS_0034	AAA_30	PF13604.9	2.8e-40	134.0	0.0	4.8e-40	133.2	0.0	1.3	1	0	0	1	1	1	1	-
GCF_000590695.1_ASM59069v1_genomic_CDS_0663	AAA_30	PF13604.9	8.5e-24	80.2	0.0	1.3e-23	79.7	0.0	1.2	1	0	0	1	1	1	1	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0016	AAA_30	PF13604.9	4.7e-12	41.9	0.0	1.1e-11	40.7	0.0	1.6	1	1	0	1	1	1	1	-
GCF_000220105.1_ASM22010v1_genomic_CDS_0874	AAA_30	PF13604.9	1.1e-09	34.3	0.1	2.8e-05	19.9	0.0	2.3	2	0	0	2	2	0	0	-
GCF_006508265.1_ASM650826v1_genomic_CDS_0007	AAA_30	PF13604.9	1.5e-08	30.5	0.0	0.0014	14.3	0.0	2.3	2	0	0	2	2	0	0	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0592	AAA_31	PF13614.9	1.9e-42	141.1	0.0	2.5e-42	140.7	0.0	1.1	1	0	0	1	1	1	1	-
GCF_001398135.1_7501_6_52_genomic_CDS_0906	AAA_31	PF13614.9	5E-35	116.9	0.0	8.6e-35	116.1	0.0	1.3	1	0	0	1	1	1	1	-
GCF_002776845.1_ASM277684v1_genomic_CDS_0843	AAA_31	PF13614.9	0,0000002	27.0	0.0	0.00013	17.9	0.0	2.3	2	0	0	2	2	0	0	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0112	AAA_5	PF07728.17	6.3e-18	61.1	0.1	1.5e-12	43.7	0.0	3.2	2	1	0	2	2	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0285	AAA_5	PF07728.17	2.6e-14	49.3	0.2	9E-10	34.6	0.0	3.1	3	1	0	3	3	1	1	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0598	AAA_5	PF07728.17	1.7e-09	33.8	0.0	3.4e-09	32.8	0.0	1.6	1	0	0	1	1	1	1	-
GCF_000226605.1_ASM22660v1_genomic_CDS_0040	AAA_5	PF07728.17	4.6e-09	32.4	0.0	5.8e-08	28.8	0.0	2.2	1	1	0	1	1	1	1	-
GCF_000318945.1_ASM31894v1_genomic_CDS_0713	AAA_5	PF07728.17	3.6e-08	29.4	0.3	2.7e-07	26.6	0.1	2.4	3	1	0	3	3	1	1	-
GCF_001183845.1_ASM118384v1_genomic_CDS_0336	AAA_5	PF07728.17	3.8e-07	26.1	0.1	6.5e-06	22.1	0.1	2.4	1	1	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0285	AAA_7	PF12775.10	2.4e-07	26.4	0.0	0.0047	12.4	0.0	2.4	2	0	0	2	2	0	0	-
GCF_001183825.1_ASM118382v1_genomic_CDS_0861	AAA_lid_3	PF17862.4	2.9e-11	39.0	1.6	8.1e-11	37.6	1.6	1.8	1	0	0	1	1	1	1	-
GCF_000226605.1_ASM22660v1_genomic_CDS_0040	AAA_lid_4	PF17864.4	2.9e-25	83.8	0.2	5.3e-25	83.0	0.2	1.4	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0285	AAA_lid_9	PF17871.4	4.8e-36	118.8	3.0	1.1e-35	117.7	1.3	2.3	2	0	0	2	2	1	1	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0112	AAA_lid_9	PF17871.4	1.4e-33	110.9	2.1	3.2e-32	106.5	0.1	2.6	1	1	1	2	2	1	1	-
GCF_000318865.1_ASM31886v1_genomic_CDS_0363	AA_kinase	PF00696.31	4.4e-40	133.7	0.0	6.6e-40	133.1	0.0	1.2	1	0	0	1	1	1	1	-
GCF_000318545.1_ASM31854v1_genomic_CDS_0701	AA_kinase	PF00696.31	2.6e-27	91.9	0.1	3E-27	91.7	0.1	1.0	1	0	0	1	1	1	1	-
GCF_000590695.1_ASM59069v1_genomic_CDS_0376	AA_permease	PF00324.24	4.3e-29	97.3	46.3	6.4e-29	96.8	46.3	1.2	1	0	0	1	1	1	1	-
GCF_001317785.1_7396_3_13_genomic_CDS_0792	AA_permease	PF00324.24	1.5e-23	79.1	40.5	1.8e-23	78.8	40.5	1.0	1	0	0	1	1	1	1	-
GCF_001317785.1_7396_3_13_genomic_CDS_0792	AA_permease_2	PF13520.9	4.6e-63	209.4	46.6	5.8e-63	209.1	46.6	1.1	1	0	0	1	1	1	1	-
GCF_000590695.1_ASM59069v1_genomic_CDS_0376	AA_permease_2	PF13520.9	6E-50	166.3	51.4	6E-50	166.3	51.4	1.6	1	1	1	2	2	1	1	-
GCF_000226605.1_ASM22660v1_genomic_CDS_0846	Aa_trans	PF01490.21	8.8e-08	27.1	12.6	8.8e-08	27.1	12.6	2.3	2	1	0	2	2	1	1	-
GCF_000093005.1_ASM9300v1_genomic_CDS_0422	ABC-3	PF00950.20	3.3e-59	196.4	26.5	4E-59	196.1	26.5	1.0	1	0	0	1	1	1	1	-
GCF_000093005.1_ASM9300v1_genomic_CDS_0069	ABC-3	PF00950.20	7.5e-39	129.7	20.4	1.8e-38	128.5	20.4	1.6	1	1	0	1	1	1	1	-
GCF_002777095.1_ASM277709v1_genomic_CDS_0071	ABC-3	PF00950.20	5.2e-30	100.7	44.1	7.1e-30	100.3	44.1	1.1	1	0	0	1	1	1	1	-
GCF_000318865.1_ASM31886v1_genomic_CDS_0683	ABC1	PF03109.19	7.6e-08	27.7	0.0	1.4e-07	26.8	0.0	1.3	1	0	0	1	1	1	1	-
GCF_000093005.1_ASM9300v1_genomic_CDS_0263	ABC_ATPase	PF09818.12	6.7e-06	21.2	0.4	2.3e-05	19.4	0.0	1.9	2	0	0	2	2	0	0	-
GCF_000093005.1_ASM9300v1_genomic_CDS_0263	ABC_membrane	PF00664.26	9.2e-29	96.8	9.7	1.4e-28	96.2	9.7	1.2	1	0	0	1	1	1	1	-
GCF_000318785.1_ASM31878v1_genomic_CDS_0398	ABC_sub_bind	PF04392.15	2.3e-16	55.7	0.8	2.8e-16	55.5	0.8	1.0	1	0	0	1	1	1	1	-
GCF_002777115.1_ASM277711v1_genomic_CDS_0352	ABC_tran	PF00005.30	5.6e-42	139.4	0.0	1E-20	70.6	0.0	2.8	3	1	0	3	3	2	2	-
GCF_001183825.1_ASM118382v1_genomic_CDS_0666	ABC_tran	PF00005.30	3.2e-35	117.6	0.0	4.6e-35	117.1	0.0	1.2	1	0	0	1	1	1	1	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0406	ABC_tran	PF00005.30	1.5e-33	112.2	0.0	2.1e-33	111.7	0.0	1.2	1	0	0	1	1	1	1	-
GCF_000093005.1_ASM9300v1_genomic_CDS_0263	ABC_tran	PF00005.30	5.5e-33	110.3	0.0	9.3e-33	109.6	0.0	1.4	1	0	0	1	1	1	1	-
GCF_002777095.1_ASM277709v1_genomic_CDS_0200	ABC_tran	PF00005.30	9.4e-30	99.9	0.0	1.4e-29	99.4	0.0	1.2	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0703	ABC_tran	PF00005.30	4.4e-29	97.7	0.0	6.2e-29	97.2	0.0	1.2	1	0	0	1	1	1	1	-
GCF_000210495.1_ASM21049v1_genomic_CDS_0129	ABC_tran	PF00005.30	1.5e-28	95.9	0.0	4.3e-28	94.5	0.0	1.7	1	1	0	1	1	1	1	-
GCF_000590575.1_ASM59057v1_genomic_CDS_0183	ABC_tran	PF00005.30	2.9e-27	91.8	0.0	4.5e-27	91.2	0.0	1.3	1	0	0	1	1	1	1	-
GCF_002088315.1_ASM208831v1_genomic_CDS_0423	ABC_tran	PF00005.30	3.1e-27	91.7	0.0	5E-27	91.0	0.0	1.3	1	0	0	1	1	1	1	-
GCF_000173495.1_ASM17349v1_genomic_CDS_0068	ABC_tran	PF00005.30	7.3e-27	90.5	0.0	1.3e-26	89.6	0.0	1.4	2	0	0	2	2	1	1	-
GCF_000093005.1_ASM9300v1_genomic_CDS_0200	ABC_tran	PF00005.30	7.6e-27	90.5	0.0	1.1e-26	89.9	0.0	1.2	1	0	0	1	1	1	1	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0336	ABC_tran	PF00005.30	2.2e-26	89.0	4.1	0.00022	17.7	0.0	7.6	7	1	0	7	7	0	0	-
GCF_000026905.1_ASM2690v1_genomic_CDS_0710	ABC_tran	PF00005.30	1.5e-25	86.3	0.0	2.1e-25	85.8	0.0	1.2	1	0	0	1	1	1	1	-
GCF_000590695.1_ASM59069v1_genomic_CDS_0697	ABC_tran	PF00005.30	3.1e-23	78.8	0.0	4.4e-23	78.2	0.0	1.2	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0717	ABC_tran	PF00005.30	1.6e-07	27.9	0.0	0.00054	16.5	0.0	2.4	2	0	0	2	2	0	0	-
GCF_002777115.1_ASM277711v1_genomic_CDS_0352	ABC_tran_Xtn	PF12848.10	6.5e-18	60.5	3.9	1.2e-17	59.7	3.0	1.8	2	0	0	2	2	1	1	-
GCF_000226605.1_ASM22660v1_genomic_CDS_0214	Abhydrolase_1	PF00561.23	7.5e-08	28.2	0.4	1.8e-05	20.4	0.3	2.1	1	1	1	2	2	0	0	-
GCF_000319105.1_ASM31910v1_genomic_CDS_0135	Abhydrolase_2	PF02230.19	9.1e-74	243.8	0.0	1E-73	243.6	0.0	1.0	1	0	0	1	1	1	1	-
GCF_000226605.1_ASM22660v1_genomic_CDS_0214	Abhydrolase_6	PF12697.10	9.6e-11	38.6	0.1	2.2e-10	37.4	0.1	1.6	1	1	0	1	1	1	1	-
GCF_000093005.1_ASM9300v1_genomic_CDS_0264	ACCA	PF03255.17	7.1e-57	187.3	0.0	1E-56	186.8	0.0	1.2	1	0	0	1	1	1	1	-
GCF_000318805.1_ASM31880v1_genomic_CDS_0466	Acetyltransf_1	PF00583.28	8.4e-17	57.4	0.0	1E-16	57.2	0.0	1.1	1	0	0	1	1	1	1	-
GCF_000318805.1_ASM31880v1_genomic_CDS_0466	Acetyltransf_10	PF13673.10	2.1e-11	39.8	0.1	2.9e-11	39.4	0.1	1.1	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0541	Acetyltransf_11	PF13720.9	7.4e-21	70.4	0.0	1.2e-20	69.7	0.0	1.3	1	0	0	1	1	1	1	-
GCF_000318805.1_ASM31880v1_genomic_CDS_0466	Acetyltransf_3	PF13302.10	1.5e-07	28.1	0.0	0,0000002	27.7	0.0	1.1	1	0	0	1	1	1	1	-
GCF_000318805.1_ASM31880v1_genomic_CDS_0466	Acetyltransf_4	PF13420.10	1.9e-07	27.1	0.0	2.4e-07	26.8	0.0	1.1	1	0	0	1	1	1	1	-
GCF_000318805.1_ASM31880v1_genomic_CDS_0466	Acetyltransf_7	PF13508.10	4E-12	42.3	0.1	5.8e-12	41.8	0.1	1.3	1	0	0	1	1	1	1	-
GCF_000092665.1_ASM9266v1_genomic_CDS_0099	ACPS	PF01648.23	2E-23	78.7	0.0	2.3e-23	78.5	0.0	1.0	1	0	0	1	1	1	1	-
GCF_000472205.1_E_CS88_f__genomic_CDS_0240	ACP_syn_III	PF08545.13	1.6e-29	97.6	0.8	3.6e-29	96.4	0.8	1.6	1	0	0	1	1	1	1	-
GCF_000472205.1_E_CS88_f__genomic_CDS_0240	ACP_syn_III_C	PF08541.13	2.2e-33	110.3	0.1	1.3e-32	107.8	0.1	2.2	2	0	0	2	2	1	1	-
GCF_000590575.1_ASM59057v1_genomic_CDS_0727	Actin	PF00022.22	1.8e-09	32.6	0.0	9.8e-05	17.0	0.0	2.2	1	1	0	2	2	0	0	-
GCF_000220105.1_ASM22010v1_genomic_CDS_0715	Acyltransferase	PF01553.24	9.7e-24	79.5	0.0	1.3e-23	79.0	0.0	1.1	1	0	0	1	1	1	1	-
GCF_000590635.1_ASM59063v1_genomic_CDS_0825	Acyltransferase	PF01553.24	2E-19	65.5	0.0	2.8e-19	65.0	0.0	1.2	1	0	0	1	1	1	1	-
GCF_000590635.1_ASM59063v1_genomic_CDS_0793	Acyltransferase	PF01553.24	3.5e-11	38.8	0.0	4.8e-11	38.4	0.0	1.2	1	0	0	1	1	1	1	-
GCF_000220105.1_ASM22010v1_genomic_CDS_0490	Acyl_transf_1	PF00698.24	6.6e-31	103.9	0.0	8.1e-31	103.6	0.0	1.0	1	0	0	1	1	1	1	-
GCF_000318785.1_ASM31878v1_genomic_CDS_0238	adh_short	PF00106.28	2.1e-61	202.7	3.2	2.4e-61	202.5	3.2	1.0	1	0	0	1	1	1	1	-
GCF_000226605.1_ASM22660v1_genomic_CDS_0104	adh_short	PF00106.28	6.5e-11	38.0	0.5	7.5e-09	31.2	0.0	2.1	2	0	0	2	2	1	1	-
GCF_000318785.1_ASM31878v1_genomic_CDS_0238	adh_short_C2	PF13561.9	9.9e-72	237.2	1.1	1.2e-71	236.9	1.1	1.0	1	0	0	1	1	1	1	-
GCF_000226605.1_ASM22660v1_genomic_CDS_0104	adh_short_C2	PF13561.9	5.6e-52	172.5	1.1	1.5e-49	164.6	0.1	2.0	2	0	0	2	2	1	1	-
GCF_002777155.1_ASM277715v1_genomic_CDS_0128	ADK	PF00406.25	5.6e-42	139.3	0.0	4.6e-41	136.4	0.0	1.9	1	1	0	1	1	1	1	-
GCF_000093005.1_ASM9300v1_genomic_CDS_0614	AhpC-TSA	PF00578.24	1.7e-39	130.5	0.0	2.1e-39	130.2	0.0	1.1	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0717	AIG1	PF04548.19	2.9e-17	58.6	0.1	7.1e-09	31.2	0.0	2.4	2	0	0	2	2	1	1	-
GCF_002088315.1_ASM208831v1_genomic_CDS_0648	ALAD	PF00490.24	9.6e-132	434.8	0.0	1.1e-131	434.6	0.0	1.0	1	0	0	1	1	1	1	-
GCF_001398215.1_7501_6_50_genomic_CDS_0697	AlaDh_PNT_C	PF01262.24	8.6e-07	24.4	1.4	0.002	13.4	0.0	2.8	2	1	1	3	3	0	0	-
GCF_000220105.1_ASM22010v1_genomic_CDS_0298	Alpha-amylase	PF00128.27	1.1e-22	76.9	0.1	5.2e-14	48.4	0.0	4.1	2	1	1	3	3	1	1	-
GCF_000590575.1_ASM59057v1_genomic_CDS_0891	Alpha-amylase	PF00128.27	8.4e-16	54.3	0.3	8.2e-10	34.6	0.2	2.2	1	1	0	2	2	1	1	-
GCF_000590575.1_ASM59057v1_genomic_CDS_0891	Alpha-amylase_C	PF02806.21	7.9e-16	54.3	0.0	1.6e-15	53.3	0.0	1.6	1	0	0	1	1	1	1	-
GCF_000173495.1_ASM17349v1_genomic_CDS_0004	Amidase	PF01425.24	1.6e-157	521.0	0.0	1.8e-157	520.8	0.0	1.0	1	0	0	1	1	1	1	-
GCF_001398135.1_7501_6_52_genomic_CDS_0488	Amidase_3	PF01520.21	1.9e-54	180.3	0.4	2.3e-54	180.0	0.4	1.1	1	0	0	1	1	1	1	-
GCF_000318825.1_ASM31882v1_genomic_CDS_0648	Aminotran_1_2	PF00155.24	1.2e-62	208.2	0.0	1.3e-62	208.0	0.0	1.0	1	0	0	1	1	1	1	-
GCF_001729905.1_ASM172990v1_genomic_CDS_0407	Aminotran_1_2	PF00155.24	1.3e-40	135.6	0.0	1.7e-40	135.2	0.0	1.2	1	0	0	1	1	1	1	-
GCF_001729845.1_ASM172984v1_genomic_CDS_0806	Aminotran_1_2	PF00155.24	4.4e-30	101.0	0.0	5.5e-30	100.6	0.0	1.1	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0701	Aminotran_1_2	PF00155.24	1.7e-10	36.5	0.0	2.6e-10	35.9	0.0	1.2	1	0	0	1	1	1	1	-
GCF_002776955.1_ASM277695v1_genomic_CDS_0262	Aminotran_1_2	PF00155.24	1.3e-06	23.7	0.0	2.2e-06	23.0	0.0	1.2	1	0	0	1	1	1	1	-
